texto,tipo_documento
Se requerimiento al empleador presentar certificación de ingresos de Miguel Ángel.,Requerimiento
Se deja sin efecto la medida de restitución sobre los bienes de Andrés Castillo.,Desembargo
El despacho requisitoria al banco Banco del Norte informar los movimientos de la cuenta 2160757 en los últimos seis meses.,Requerimiento
Se otorga notificación a la administración demandada para que presente alegaciones.,Traslado
El despacho requerimiento al banco Banco del Norte informar los movimientos de la cuenta 7455531 en los últimos seis meses.,Requerimiento
Se ordena la decomiso preventivo de la cuenta número 7550489 a nombre de Paula Hernández.,Embargo
Se dispone el desembargo de los bienes registrados a nombre de José Torres.,Desembargo
Se demanda al actor para que precise su demanda en el término legal.,Requerimiento
Se exigencia al actor para que precise su demanda en el término legal.,Requerimiento
El juzgado orden a la empresa informar el salario y prestaciones de Carolina Rivas.,Requerimiento
Se declara el desbloqueo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se da remesa al Ministerio Público del informe presentado por Carlos Rodríguez.,Traslado
Se dispone el restitución de los bienes registrados a nombre de Carlos Rodríguez.,Desembargo
Se corre comunicación a la parte demandada del escrito presentado en fecha 01/03/2025.,Traslado
Se da envío al Ministerio Público del informe presentado por Patricia López.,Traslado
El juez autoriza el liberación de los recursos retenidos en la entidad Financiera Central.,Desembargo
Se ordena el embargo preventivo sobre las acciones de la empresa de Andrés Castillo.,Embargo
Se declara el recuperación parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se ordena la requisa preventivo de la cuenta número 1688760 a nombre de Verónica Paredes.,Embargo
El juzgado solicitud a José Luis que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El juzgado mandato a María Gómez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se aviso a la entidad Banco del Norte remitir certificación actualizada de los saldos de la cuenta 3005253.,Requerimiento
Se declara el recuperación parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juzgado exigencia a la empresa informar el salario y prestaciones de José Torres.,Requerimiento
El juez ordena la retención de los fondos depositados en la entidad financiera Davivienda.,Embargo
Se declara el liberar bienes embargados parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El órgano jurisdiccional remite las actuaciones a las partes para su traslado y contestación.,Traslado
El juez mandato a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
El juzgado mandato a Pedro López que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se petición a Banco de Bogotá remitir relación detallada de los productos financieros a nombre de Paula Hernández.,Requerimiento
El despacho petición al banco Banco Popular informar los movimientos de la cuenta 8912221 en los últimos seis meses.,Requerimiento
El juzgado decreta la incautación de los bienes del demandado ubicados en Santa Marta.,Embargo
El juzgado orden a Fernando Ruiz que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se dispone la requisa de los bienes registrados a nombre de Ana Martínez.,Embargo
El juzgado orden a José Torres que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se ordena la embargo preventivo de la cuenta número 4093038 a nombre de Isabel Vargas.,Embargo
El juzgado ordena el desbloqueo de las medidas cautelares sobre la cuenta 1746132.,Desembargo
Se autoriza el secuestro de la propiedad inmueble situada en Cali.,Embargo
Se corre traslado a la parte demandada del escrito presentado en fecha 29/05/2024.,Traslado
Se corre remisión a la parte demandada del escrito presentado por la parte actora en fecha 13/10/2025.,Traslado
Se ordena el decomiso preventivo sobre las acciones de la empresa de Verónica Paredes.,Embargo
Se libra mandamiento de confiscación sobre el vehículo de placas 134O812.,Embargo
Se orden a Banco Andino remitir relación detallada de los productos financieros a nombre de Isabel Vargas.,Requerimiento
Se concede comunicación a la contraparte para que comparezca y conteste la demanda.,Traslado
El despacho dispone la embargo sobre el salario de José Luis.,Embargo
Se libra mandamiento de decomiso sobre el vehículo de placas 832L649.,Embargo
El juzgado decreta la requisa de los bienes del demandado ubicados en Cúcuta.,Embargo
Se orden al apoderado de Ana Martínez allegar copia auténtica del título ejecutivo.,Requerimiento
Se otorga comunicación a la administración demandada para que presente alegaciones.,Traslado
Se corre remesa a la parte demandada del escrito presentado por la parte actora en fecha 14/08/2025.,Traslado
El juzgado ordena el liberación de las medidas cautelares sobre la cuenta 9421032.,Desembargo
Se dispone dar remisión al recurso extraordinario presentado por Paula Hernández.,Traslado
El despacho decreta el liberar bienes embargados que pesaba sobre el inmueble de Ana Martínez.,Desembargo
Se dispone dar comunicación al recurso extraordinario presentado por Verónica Paredes.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su comunicación y contestación.,Traslado
Se da remesa al Ministerio Público del informe presentado por Juan Pérez.,Traslado
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
El juez autoriza el desembargo de los recursos retenidos en la entidad Banco de Occidente.,Desembargo
El despacho solicitud al banco Financiera Central informar los movimientos de la cuenta 7191921 en los últimos seis meses.,Requerimiento
El juzgado ordena la requisa de los bienes en garantía del crédito reclamado.,Embargo
Se dispone la requisa de los bienes registrados a nombre de Ana Martínez.,Embargo
Se declara el devolución parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se exigencia al empleador presentar certificación de ingresos de Fernando Ruiz.,Requerimiento
El juzgado demanda a la empresa informar el salario y prestaciones de Miguel Ángel.,Requerimiento
El despacho orden al banco Financiera Central informar los movimientos de la cuenta 7787989 en los últimos seis meses.,Requerimiento
Se requerimiento al empleador presentar certificación de ingresos de José Torres.,Requerimiento
Se otorga comunicación a la administración demandada para que presente alegaciones.,Traslado
El despacho decreta el devolución que pesaba sobre el inmueble de José Luis.,Desembargo
Se corre notificación a la parte demandada del escrito presentado por la parte actora en fecha 22/02/2025.,Traslado
El despacho requisitoria al banco Banco Popular informar los movimientos de la cuenta 5189677 en los últimos seis meses.,Requerimiento
Se aviso a la entidad Davivienda remitir certificación actualizada de los saldos de la cuenta 7684658.,Requerimiento
Se corre remesa a la parte demandada del escrito presentado en fecha 27/01/2024.,Traslado
El juzgado concede notificación a la entidad Banco del Norte para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se dispone dar remisión al recurso extraordinario presentado por María Gómez.,Traslado
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
Se ordena el embargo preventivo sobre las acciones de la empresa de Verónica Paredes.,Embargo
El juzgado concede traslado a la entidad Davivienda para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se ordena la secuestro preventivo de la cuenta número 6913691 a nombre de Ricardo Gómez.,Embargo
Se corre remisión a la parte demandada del escrito presentado en fecha 15/06/2024.,Traslado
El juzgado ordena la incautación de los bienes en garantía del crédito reclamado.,Embargo
Se requerimiento al apoderado de Patricia López allegar copia auténtica del título ejecutivo.,Requerimiento
Se dispone la confiscación de los bienes registrados a nombre de Carlos Rodríguez.,Embargo
Se dispone el liberar una cuenta de los bienes embargados para su devolución al deudor.,Desembargo
Se petición a Banco Andino remitir relación detallada de los productos financieros a nombre de José Torres.,Requerimiento
El juzgado concede traslado a la entidad Davivienda para que se pronuncie sobre la solicitud de desembargo.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su notificación y contestación.,Traslado
El juez autoriza el desaplicación del embargo de los recursos retenidos en la entidad Banco de Bogotá.,Desembargo
El juez autoriza el desaplicación del embargo de los recursos retenidos en la entidad BBVA.,Desembargo
Se exigencia al empleador presentar certificación de ingresos de Laura Sánchez.,Requerimiento
El juzgado ordena el liberación de las medidas cautelares sobre la cuenta 3904358.,Desembargo
Se ordena el incautación preventivo sobre las acciones de la empresa de Carlos Rodríguez.,Embargo
Se ordena la decomiso preventivo de la cuenta número 6402172 a nombre de Pedro López.,Embargo
Se autoriza el confiscación de la propiedad inmueble situada en Villavicencio.,Embargo
Se solicitud al actor para que precise su demanda en el término legal.,Requerimiento
El juzgado ordena el restitución de las medidas cautelares sobre la cuenta 3786237.,Desembargo
Se dispone el devolución de los bienes embargados para su devolución al deudor.,Desembargo
Se solicitud al apoderado de Verónica Paredes allegar copia auténtica del título ejecutivo.,Requerimiento
Se solicitud a la entidad Davivienda remitir certificación actualizada de los saldos de la cuenta 1301820.,Requerimiento
El despacho ordena el levantamiento del embargo de la cuenta bancaria número 4664916.,Desembargo
Se decreta la embargo de los bienes muebles ubicados en la dirección indicada.,Embargo
Se dispone el desaplicación del embargo de los bienes registrados a nombre de Andrés Castillo.,Desembargo
El juzgado petición a Sofía Medina que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El juzgado mandato a la empresa informar el salario y prestaciones de Luis Fernández.,Requerimiento
Se dispone dar traslado al recurso extraordinario presentado por Laura Sánchez.,Traslado
El juez mandato a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se ordena cancelar el embargo del vehículo identificado con placas 371M258.,Desembargo
El órgano jurisdiccional remite las actuaciones a las partes para su traslado y contestación.,Traslado
Se otorga traslado a la administración demandada para que presente alegaciones.,Traslado
Se mandato a la entidad Banco de Bogotá remitir certificación actualizada de los saldos de la cuenta 6908863.,Requerimiento
Se exigencia a la entidad Banco del Norte remitir certificación actualizada de los saldos de la cuenta 2780460.,Requerimiento
El despacho dispone la embargo sobre el salario de Carlos Rodríguez.,Embargo
Se ordena el retención preventivo sobre las acciones de la empresa de Marta Ramírez.,Embargo
Se libra mandamiento de retención sobre el vehículo de placas 160P147.,Embargo
Se ordena el decomiso preventivo sobre las acciones de la empresa de Pedro López.,Embargo
Se dispone el liberar una cuenta de los bienes embargados para su devolución al deudor.,Desembargo
El juez ordena la incautación de los fondos depositados en la entidad financiera Cooperativa Solidaria.,Embargo
Se corre envío a la parte demandada del escrito presentado por la parte actora en fecha 08/06/2025.,Traslado
Se ordena el confiscación preventivo sobre las acciones de la empresa de Carlos Rodríguez.,Embargo
El juzgado decreta la decomiso de los bienes del demandado ubicados en Cali.,Embargo
Se dispone dar remesa al recurso extraordinario presentado por Juan Pérez.,Traslado
El despacho dispone la confiscación sobre el salario de Miguel Ángel.,Embargo
Se libra mandamiento de confiscación sobre el vehículo de placas 861W830.,Embargo
Se dispone el devolución de los bienes embargados para su devolución al deudor.,Desembargo
El tribunal remite copia del expediente a la autoridad competente para su remisión.,Traslado
Se dictamina el restitución total de los bienes retenidos por orden judicial.,Desembargo
El juez ordena la decomiso de los fondos depositados en la entidad financiera Banco de Bogotá.,Embargo
Se dispone el desbloqueo de los bienes embargados para su devolución al deudor.,Desembargo
El juzgado concede envío a la entidad Banco Popular para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se decreta la secuestro de los bienes muebles ubicados en la dirección indicada.,Embargo
Se dispone la retención de los bienes registrados a nombre de Miguel Ángel.,Embargo
Se dispone dar remesa al recurso extraordinario presentado por Ana Martínez.,Traslado
El juzgado ordena el liberación de las medidas cautelares sobre la cuenta 2262962.,Desembargo
El juzgado requerimiento a la empresa informar el salario y prestaciones de Laura Sánchez.,Requerimiento
Se ordena el retención preventivo sobre las acciones de la empresa de Marta Ramírez.,Embargo
Se deja sin efecto la medida de liberar bienes embargados sobre los bienes de Verónica Paredes.,Desembargo
Se declara el devolución parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se declara el restitución parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El despacho petición al banco Davivienda informar los movimientos de la cuenta 5424107 en los últimos seis meses.,Requerimiento
Se dictamina el recuperación total de los bienes retenidos por orden judicial.,Desembargo
Se concede comunicación a la contraparte para que comparezca y conteste la demanda.,Traslado
Se solicitud a la entidad Banco del Norte remitir certificación actualizada de los saldos de la cuenta 6471610.,Requerimiento
Se aviso a Banco de Bogotá remitir relación detallada de los productos financieros a nombre de Carolina Rivas.,Requerimiento
El juzgado concede remesa a la entidad BBVA para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se mandato al apoderado de Sofía Medina allegar copia auténtica del título ejecutivo.,Requerimiento
Se libra mandamiento de retención sobre el vehículo de placas 303Q300.,Embargo
El juez ordena la secuestro de los fondos depositados en la entidad financiera Banco del Norte.,Embargo
Se declara el restitución parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se ordena el confiscación preventivo sobre las acciones de la empresa de Patricia López.,Embargo
El despacho ordena el restitución de la cuenta bancaria número 4151809.,Desembargo
El juzgado ordena el desaplicación del embargo de las medidas cautelares sobre la cuenta 4705550.,Desembargo
Se solicitud al empleador presentar certificación de ingresos de Pedro López.,Requerimiento
Se dispone el liberación de los bienes registrados a nombre de Carolina Rivas.,Desembargo
El juzgado decreta la secuestro de los bienes del demandado ubicados en Cartagena.,Embargo
Se ordena la secuestro preventivo de la cuenta número 7945097 a nombre de María Gómez.,Embargo
El tribunal requerimiento a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se ordena cancelar el embargo del vehículo identificado con placas 581E824.,Desembargo
El tribunal remite copia del expediente a la autoridad competente para su remisión.,Traslado
Se deja sin efecto la medida de levantamiento del embargo sobre los bienes de José Torres.,Desembargo
Se otorga remisión a la administración demandada para que presente alegaciones.,Traslado
Se orden a Banco de Occidente remitir relación detallada de los productos financieros a nombre de Luis Fernández.,Requerimiento
Se ordena la embargo preventivo de la cuenta número 3817339 a nombre de Isabel Vargas.,Embargo
El despacho dispone dar remesa a la contraparte del recurso de reposición interpuesto por Andrés Castillo.,Traslado
Se demanda al empleador presentar certificación de ingresos de Andrés Castillo.,Requerimiento
El juzgado concede envío a la entidad Banco Popular para que se pronuncie sobre la solicitud de desembargo.,Traslado
El juzgado ordena la embargo de los bienes en garantía del crédito reclamado.,Embargo
Se decreta la secuestro de los bienes muebles ubicados en la dirección indicada.,Embargo
Se concede notificación a la contraparte para que comparezca y conteste la demanda.,Traslado
El juzgado ordena el desembargo de las medidas cautelares sobre la cuenta 1933947.,Desembargo
Se deja sin efecto la medida de restitución sobre los bienes de José Luis.,Desembargo
Se deja sin efecto la medida de recuperación sobre los bienes de Miguel Ángel.,Desembargo
Se concede envío a la contraparte para que comparezca y conteste la demanda.,Traslado
El despacho dispone la requisa sobre el salario de Paula Hernández.,Embargo
El órgano jurisdiccional remite las actuaciones a las partes para su remesa y contestación.,Traslado
Se libra mandamiento de incautación sobre el vehículo de placas 117G971.,Embargo
Se declara el levantamiento del embargo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juez autoriza el desbloqueo de los recursos retenidos en la entidad Financiera Central.,Desembargo
El despacho ordena el desbloqueo de la cuenta bancaria número 9803893.,Desembargo
Se dispone el restitución de los bienes embargados para su devolución al deudor.,Desembargo
Se libra mandamiento de incautación sobre el vehículo de placas 129W398.,Embargo
Se dispone la embargo de los bienes registrados a nombre de Carolina Rivas.,Embargo
Se corre envío a la parte demandada del escrito presentado en fecha 13/06/2024.,Traslado
Se dispone el desembargo de los bienes registrados a nombre de Paula Hernández.,Desembargo
El despacho dispone dar comunicación a la contraparte del recurso de reposición interpuesto por Fernando Ruiz.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su remisión y contestación.,Traslado
Se dictamina el devolución total de los bienes retenidos por orden judicial.,Desembargo
Se corre comunicación a la parte demandada del escrito presentado en fecha 11/10/2025.,Traslado
El juzgado decreta la retención de los bienes del demandado ubicados en Bucaramanga.,Embargo
El juzgado decreta la confiscación de los bienes del demandado ubicados en Manizales.,Embargo
Se declara el desbloqueo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se deja sin efecto la medida de desbloqueo sobre los bienes de Ana Martínez.,Desembargo
Se deja sin efecto la medida de liberar bienes embargados sobre los bienes de Sofía Medina.,Desembargo
Se dispone el restitución de los bienes registrados a nombre de Miguel Ángel.,Desembargo
El juzgado ordena el restitución de las medidas cautelares sobre la cuenta 1085814.,Desembargo
El juzgado aviso a la empresa informar el salario y prestaciones de Laura Sánchez.,Requerimiento
El despacho decreta el restitución que pesaba sobre el inmueble de José Torres.,Desembargo
El juzgado orden a la empresa informar el salario y prestaciones de Carolina Rivas.,Requerimiento
El tribunal remite copia del expediente a la autoridad competente para su remesa.,Traslado
El despacho dispone dar notificación a la contraparte del recurso de reposición interpuesto por Luis Fernández.,Traslado
Se dispone dar notificación al recurso extraordinario presentado por José Torres.,Traslado
El juez ordena la requisa de los fondos depositados en la entidad financiera Banco de Bogotá.,Embargo
El juzgado orden a la empresa informar el salario y prestaciones de Pedro López.,Requerimiento
Se declara el desbloqueo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se decreta la confiscación de los bienes muebles ubicados en la dirección indicada.,Embargo
Se demanda a la entidad Banco Andino remitir certificación actualizada de los saldos de la cuenta 7581531.,Requerimiento
Se corre comunicación a la parte demandada del escrito presentado por la parte actora en fecha 05/06/2025.,Traslado
Se declara el desaplicación del embargo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juez ordena la decomiso de los fondos depositados en la entidad financiera Cooperativa Solidaria.,Embargo
Se autoriza el secuestro de la propiedad inmueble situada en Sincelejo.,Embargo
Se declara el liberar una cuenta parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se libra mandamiento de decomiso sobre el vehículo de placas 162D221.,Embargo
Se dispone el recuperación de los bienes embargados para su devolución al deudor.,Desembargo
Se ordena la decomiso preventivo de la cuenta número 4824141 a nombre de Miguel Ángel.,Embargo
Se requisitoria al actor para que precise su demanda en el término legal.,Requerimiento
Se dispone el desbloqueo de los bienes embargados para su devolución al deudor.,Desembargo
Se ordena cancelar el embargo del vehículo identificado con placas 513W327.,Desembargo
Se ordena cancelar el embargo del vehículo identificado con placas 480B703.,Desembargo
El juez ordena la secuestro de los fondos depositados en la entidad financiera Banco Andino.,Embargo
El juez autoriza el liberar una cuenta de los recursos retenidos en la entidad Banco Popular.,Desembargo
Se otorga remisión a la administración demandada para que presente alegaciones.,Traslado
El despacho dispone dar comunicación a la contraparte del recurso de reposición interpuesto por Paula Hernández.,Traslado
Se deja sin efecto la medida de liberación sobre los bienes de Andrés Castillo.,Desembargo
Se ordena el decomiso preventivo sobre las acciones de la empresa de Paula Hernández.,Embargo
Se dispone el restitución de los bienes registrados a nombre de Sofía Medina.,Desembargo
Se exigencia al empleador presentar certificación de ingresos de Miguel Ángel.,Requerimiento
El órgano jurisdiccional remite las actuaciones a las partes para su comunicación y contestación.,Traslado
El juez ordena la retención de los fondos depositados en la entidad financiera Banco Nacional.,Embargo
Se solicitud al apoderado de Laura Sánchez allegar copia auténtica del título ejecutivo.,Requerimiento
Se ordena cancelar el embargo del vehículo identificado con placas 405A910.,Desembargo
El despacho dispone la embargo sobre el salario de Carolina Rivas.,Embargo
El juez orden a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se ordena cancelar el embargo del vehículo identificado con placas 594Z550.,Desembargo
El juzgado mandato a Isabel Vargas que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El juzgado exigencia a Marta Ramírez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se dispone la incautación de los bienes registrados a nombre de José Luis.,Embargo
Se dispone el liberar una cuenta de los bienes registrados a nombre de Andrés Castillo.,Desembargo
El órgano jurisdiccional remite las actuaciones a las partes para su remisión y contestación.,Traslado
Se decreta la secuestro de los bienes muebles ubicados en la dirección indicada.,Embargo
Se orden al empleador presentar certificación de ingresos de Pedro López.,Requerimiento
Se da comunicación al Ministerio Público del informe presentado por Isabel Vargas.,Traslado
Se corre notificación a la parte demandada del escrito presentado por la parte actora en fecha 16/11/2025.,Traslado
Se dictamina el liberar una cuenta total de los bienes retenidos por orden judicial.,Desembargo
Se dictamina el desembargo total de los bienes retenidos por orden judicial.,Desembargo
El juzgado solicitud a Paula Hernández que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se dispone el liberar una cuenta de los bienes embargados para su devolución al deudor.,Desembargo
Se dispone el devolución de los bienes registrados a nombre de Fernando Ruiz.,Desembargo
El juez ordena la incautación de los fondos depositados en la entidad financiera Financiera Central.,Embargo
Se ordena cancelar el embargo del vehículo identificado con placas 419S300.,Desembargo
Se dispone dar notificación al recurso extraordinario presentado por Andrés Castillo.,Traslado
El juzgado decreta la confiscación de los bienes del demandado ubicados en Manizales.,Embargo
Se dispone la retención de los bienes registrados a nombre de Laura Sánchez.,Embargo
El tribunal remite copia del expediente a la autoridad competente para su notificación.,Traslado
Se orden al empleador presentar certificación de ingresos de Patricia López.,Requerimiento
Se ordena la requisa preventivo de la cuenta número 3761588 a nombre de Carolina Rivas.,Embargo
El juzgado ordena la embargo de los bienes en garantía del crédito reclamado.,Embargo
El juzgado ordena la retención de los bienes en garantía del crédito reclamado.,Embargo
El juzgado ordena la incautación de los bienes en garantía del crédito reclamado.,Embargo
Se petición al empleador presentar certificación de ingresos de Patricia López.,Requerimiento
Se ordena el confiscación preventivo sobre las acciones de la empresa de Ricardo Gómez.,Embargo
El despacho ordena el restitución de la cuenta bancaria número 8864993.,Desembargo
Se otorga remesa a la administración demandada para que presente alegaciones.,Traslado
Se deja sin efecto la medida de desaplicación del embargo sobre los bienes de María Gómez.,Desembargo
El despacho dispone dar remisión a la contraparte del recurso de reposición interpuesto por Laura Sánchez.,Traslado
Se exigencia a la entidad Banco del Norte remitir certificación actualizada de los saldos de la cuenta 6582867.,Requerimiento
Se dispone la incautación de los bienes registrados a nombre de Laura Sánchez.,Embargo
El tribunal remite copia del expediente a la autoridad competente para su remesa.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su remesa y contestación.,Traslado
Se mandato a la entidad Banco Nacional remitir certificación actualizada de los saldos de la cuenta 3277568.,Requerimiento
El despacho dispone la confiscación sobre el salario de Carolina Rivas.,Embargo
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
Se libra mandamiento de embargo sobre el vehículo de placas 784X402.,Embargo
Se petición al apoderado de Isabel Vargas allegar copia auténtica del título ejecutivo.,Requerimiento
El juzgado concede envío a la entidad Davivienda para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se requerimiento al actor para que precise su demanda en el término legal.,Requerimiento
Se deja sin efecto la medida de liberar bienes embargados sobre los bienes de Ana Martínez.,Desembargo
Se concede comunicación a la contraparte para que comparezca y conteste la demanda.,Traslado
Se libra mandamiento de requisa sobre el vehículo de placas 358R708.,Embargo
El juzgado ordena el restitución de las medidas cautelares sobre la cuenta 3267041.,Desembargo
El despacho ordena el recuperación de la cuenta bancaria número 2356568.,Desembargo
Se petición al apoderado de José Torres allegar copia auténtica del título ejecutivo.,Requerimiento
El órgano jurisdiccional remite las actuaciones a las partes para su traslado y contestación.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su remesa y contestación.,Traslado
El despacho decreta el desembargo que pesaba sobre el inmueble de Carolina Rivas.,Desembargo
El juzgado decreta la incautación de los bienes del demandado ubicados en Villavicencio.,Embargo
Se autoriza el secuestro de la propiedad inmueble situada en Santa Marta.,Embargo
El juzgado ordena el devolución de las medidas cautelares sobre la cuenta 7179069.,Desembargo
Se da remisión al Ministerio Público del informe presentado por Patricia López.,Traslado
Se ordena el embargo preventivo sobre las acciones de la empresa de Patricia López.,Embargo
Se dispone dar traslado al recurso extraordinario presentado por Carolina Rivas.,Traslado
El despacho requisitoria al banco Banco Popular informar los movimientos de la cuenta 3763324 en los últimos seis meses.,Requerimiento
El juzgado requerimiento a Pedro López que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El juez autoriza el recuperación de los recursos retenidos en la entidad Banco Nacional.,Desembargo
Se da comunicación al Ministerio Público del informe presentado por Sofía Medina.,Traslado
Se ordena el secuestro preventivo sobre las acciones de la empresa de Laura Sánchez.,Embargo
Se libra mandamiento de confiscación sobre el vehículo de placas 717L693.,Embargo
El despacho requerimiento al banco Banco Popular informar los movimientos de la cuenta 1692287 en los últimos seis meses.,Requerimiento
Se corre remisión a la parte demandada del escrito presentado por la parte actora en fecha 27/06/2025.,Traslado
El juez requerimiento a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se orden al apoderado de Miguel Ángel allegar copia auténtica del título ejecutivo.,Requerimiento
El despacho mandato al banco Cooperativa Solidaria informar los movimientos de la cuenta 8495007 en los últimos seis meses.,Requerimiento
El juzgado mandato a la empresa informar el salario y prestaciones de Luis Fernández.,Requerimiento
El despacho decreta el restitución que pesaba sobre el inmueble de Ana Martínez.,Desembargo
Se otorga remesa a la administración demandada para que presente alegaciones.,Traslado
Se dispone la incautación de los bienes registrados a nombre de Andrés Castillo.,Embargo
El tribunal requisitoria a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se requerimiento al actor para que precise su demanda en el término legal.,Requerimiento
Se autoriza el secuestro de la propiedad inmueble situada en Santa Marta.,Embargo
Se dispone el desbloqueo de los bienes registrados a nombre de Laura Sánchez.,Desembargo
El juzgado concede envío a la entidad Banco de Occidente para que se pronuncie sobre la solicitud de desembargo.,Traslado
El juez autoriza el liberar una cuenta de los recursos retenidos en la entidad Banco del Norte.,Desembargo
Se ordena cancelar el embargo del vehículo identificado con placas 396T732.,Desembargo
El juzgado requisitoria a Ricardo Gómez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El juzgado orden a la empresa informar el salario y prestaciones de Patricia López.,Requerimiento
Se demanda al apoderado de María Gómez allegar copia auténtica del título ejecutivo.,Requerimiento
Se orden al apoderado de Patricia López allegar copia auténtica del título ejecutivo.,Requerimiento
Se otorga remesa a la administración demandada para que presente alegaciones.,Traslado
Se deja sin efecto la medida de liberar una cuenta sobre los bienes de Luis Fernández.,Desembargo
Se autoriza el incautación de la propiedad inmueble situada en Cartagena.,Embargo
El despacho decreta el liberar una cuenta que pesaba sobre el inmueble de José Luis.,Desembargo
El juez ordena la retención de los fondos depositados en la entidad financiera BBVA.,Embargo
Se mandato al actor para que precise su demanda en el término legal.,Requerimiento
El juzgado decreta la embargo de los bienes del demandado ubicados en Cali.,Embargo
El juez exigencia a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se dispone la decomiso de los bienes registrados a nombre de Paula Hernández.,Embargo
El tribunal remite copia del expediente a la autoridad competente para su notificación.,Traslado
Se ordena la requisa preventivo de la cuenta número 8237339 a nombre de José Torres.,Embargo
El tribunal requisitoria a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se dispone la decomiso de los bienes registrados a nombre de Isabel Vargas.,Embargo
Se orden a la entidad Banco Nacional remitir certificación actualizada de los saldos de la cuenta 4357182.,Requerimiento
Se petición a Banco del Norte remitir relación detallada de los productos financieros a nombre de Verónica Paredes.,Requerimiento
Se declara el desembargo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El tribunal remite copia del expediente a la autoridad competente para su remesa.,Traslado
Se exigencia a la entidad Davivienda remitir certificación actualizada de los saldos de la cuenta 1732149.,Requerimiento
Se deja sin efecto la medida de liberar bienes embargados sobre los bienes de Ricardo Gómez.,Desembargo
Se decreta la requisa de los bienes muebles ubicados en la dirección indicada.,Embargo
Se declara el restitución parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juzgado ordena el levantamiento del embargo de las medidas cautelares sobre la cuenta 4602128.,Desembargo
El órgano jurisdiccional remite las actuaciones a las partes para su envío y contestación.,Traslado
Se solicitud a Banco de Bogotá remitir relación detallada de los productos financieros a nombre de Paula Hernández.,Requerimiento
El tribunal remite copia del expediente a la autoridad competente para su remesa.,Traslado
El despacho ordena el desbloqueo de la cuenta bancaria número 9399798.,Desembargo
Se ordena la embargo preventivo de la cuenta número 7126028 a nombre de María Gómez.,Embargo
El despacho petición al banco Davivienda informar los movimientos de la cuenta 7199286 en los últimos seis meses.,Requerimiento
Se corre remesa a la parte demandada del escrito presentado por la parte actora en fecha 30/01/2024.,Traslado
El juzgado orden a la empresa informar el salario y prestaciones de Pedro López.,Requerimiento
Se orden al empleador presentar certificación de ingresos de Patricia López.,Requerimiento
El despacho ordena el desbloqueo de la cuenta bancaria número 3358047.,Desembargo
